instance_index,original_test_index,predicted_probability,SHAP_feature_1_name,SHAP_feature_1_rank,SHAP_feature_1_sign,SHAP_feature_1_value,SHAP_feature_2_name,SHAP_feature_2_rank,SHAP_feature_2_sign,SHAP_feature_2_value,SHAP_feature_3_name,SHAP_feature_3_rank,SHAP_feature_3_sign,SHAP_feature_3_value,other_feature_0_name,other_feature_0_value,other_feature_1_name,other_feature_1_value,other_feature_2_name,other_feature_2_value,other_feature_3_name,other_feature_3_value,other_feature_4_name,other_feature_4_value
150,17673,0.7601701534827593,decile3,1,1,2.0,decile1,2,1,3.0,lsat,3,-1,38.0,fam_inc,4.0,ugpa,3.0,fulltime,1.0,gender,1.0,race,0.0
151,17730,0.5,decile3,1,1,3.0,fulltime,2,-1,2.0,decile1,3,-1,6.0,fam_inc,4.0,lsat,32.0,ugpa,3.0,gender,0.0,race,0.0
152,15696,0.56,lsat,1,1,20.0,ugpa,2,-1,3.1,decile1,3,1,1.0,decile3,2.0,fam_inc,2.0,fulltime,2.0,gender,1.0,race,3.0
153,2313,0.65,decile3,1,1,2.0,lsat,2,-1,38.0,ugpa,3,-1,3.4,decile1,5.0,fam_inc,3.0,fulltime,1.0,gender,0.0,race,0.0
154,12534,0.5524127508014403,decile3,1,1,2.0,ugpa,2,-1,3.7,lsat,3,-1,37.0,decile1,2.0,fam_inc,3.0,fulltime,2.0,gender,0.0,race,0.0
155,20224,0.8176497538684053,decile3,1,1,1.0,decile1,2,1,1.0,fam_inc,3,-1,4.0,lsat,29.5,ugpa,2.3,fulltime,1.0,gender,1.0,race,3.0
156,4920,0.54,lsat,1,1,25.0,ugpa,2,-1,3.3,decile3,3,-1,4.0,decile1,4.0,fam_inc,3.0,fulltime,1.0,gender,0.0,race,3.0
157,10859,0.5750757129710992,lsat,1,-1,39.0,ugpa,2,1,2.8,decile3,3,1,4.0,decile1,4.0,fam_inc,3.0,fulltime,1.0,gender,1.0,race,0.0
158,18481,0.6019854230037496,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,2.6,fam_inc,2.0,lsat,34.0,fulltime,1.0,gender,0.0,race,3.0
159,3870,0.5305475852729429,decile3,1,1,2.0,ugpa,2,-1,3.3,lsat,3,-1,35.0,decile1,3.0,fam_inc,4.0,fulltime,1.0,gender,0.0,race,0.0
160,10428,0.5888660424698611,lsat,1,1,22.5,ugpa,2,-1,2.9,fam_inc,3,-1,3.0,decile1,4.0,decile3,4.0,fulltime,1.0,gender,0.0,race,1.0
161,20322,0.8283428518425765,decile3,1,1,1.0,decile1,2,1,1.0,lsat,3,1,28.0,fam_inc,2.0,ugpa,2.1,fulltime,1.0,gender,1.0,race,3.0
162,3637,0.5268291072164808,decile3,1,1,2.0,ugpa,2,-1,3.3,decile1,3,1,3.0,fam_inc,4.0,lsat,36.5,fulltime,1.0,gender,0.0,race,0.0
163,4053,0.7195911026766997,decile3,1,1,1.0,ugpa,2,-1,3.3,fam_inc,3,-1,4.0,decile1,1.0,lsat,27.0,fulltime,1.0,gender,0.0,race,3.0
164,2220,0.7,lsat,1,1,32.0,decile3,2,-1,8.0,fam_inc,3,1,3.0,decile1,6.0,ugpa,3.4,fulltime,1.0,gender,0.0,race,0.0
165,14424,0.82,decile3,1,1,1.0,lsat,2,1,22.5,ugpa,3,-1,2.7,decile1,1.0,fam_inc,1.0,fulltime,1.0,gender,0.0,race,3.0
166,20102,0.65,decile1,1,1,1.0,ugpa,2,1,2.3,fulltime,3,-1,1.0,decile3,3.0,fam_inc,4.0,lsat,29.0,gender,0.0,race,3.0
167,14551,0.74541716819043,decile3,1,1,1.0,decile1,2,1,1.0,fulltime,3,1,2.0,fam_inc,3.0,lsat,31.0,ugpa,2.7,gender,0.0,race,0.0
168,18252,0.5463520525314968,decile3,1,1,2.0,ugpa,2,-1,2.6,fam_inc,3,-1,5.0,decile1,3.0,lsat,32.0,fulltime,1.0,gender,1.0,race,0.0
169,14829,0.6678689556860213,decile3,1,1,1.0,decile1,2,1,4.0,lsat,3,-1,36.0,fam_inc,4.0,ugpa,3.1,fulltime,1.0,gender,1.0,race,2.0
170,19693,0.9,decile3,1,1,1.0,decile1,2,1,2.0,ugpa,3,1,2.5,fam_inc,3.0,lsat,30.0,fulltime,1.0,gender,1.0,race,0.0
171,10097,0.7383903286520921,decile3,1,1,1.0,lsat,2,1,26.0,ugpa,3,-1,2.9,decile1,1.0,fam_inc,2.0,fulltime,1.0,gender,1.0,race,3.0
172,10954,0.9593989425540888,decile3,1,1,1.0,lsat,2,1,26.0,decile1,3,1,1.0,fam_inc,4.0,ugpa,2.8,fulltime,1.0,gender,0.0,race,3.0
173,16021,0.63,decile3,1,1,2.0,lsat,2,-1,35.0,decile1,3,1,3.0,fam_inc,1.0,ugpa,3.1,fulltime,1.0,gender,1.0,race,0.0
174,19072,0.7379630647466198,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,3.8,fam_inc,4.0,lsat,39.0,fulltime,1.0,gender,0.0,race,0.0
175,2680,0.5611513995287614,decile3,1,1,1.0,ugpa,2,-1,3.4,decile1,3,1,1.0,fam_inc,3.0,lsat,29.5,fulltime,1.0,gender,0.0,race,0.0
176,18112,0.69,ugpa,1,1,2.6,fam_inc,2,1,3.0,lsat,3,1,34.0,decile1,8.0,decile3,6.0,fulltime,1.0,gender,1.0,race,0.0
177,19723,0.6,ugpa,1,1,2.5,decile3,2,-1,6.0,fam_inc,3,1,3.0,decile1,5.0,lsat,36.0,fulltime,1.0,gender,1.0,race,2.0
178,5056,0.8414925666432179,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,3.3,fam_inc,3.0,lsat,35.0,fulltime,1.0,gender,0.0,race,0.0
179,17126,0.54,decile3,1,1,1.0,ugpa,2,-1,3.0,lsat,3,-1,30.0,decile1,1.0,fam_inc,3.0,fulltime,1.0,gender,1.0,race,0.0
180,311,0.6047085251612626,lsat,1,-1,46.0,decile3,2,1,3.0,decile1,3,1,3.0,fam_inc,4.0,ugpa,3.5,fulltime,1.0,gender,1.0,race,0.0
181,16225,0.94,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,3.1,fam_inc,2.0,lsat,30.0,fulltime,1.0,gender,1.0,race,3.0
182,6813,0.8201248526659954,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,3.2,fam_inc,3.0,lsat,35.0,fulltime,1.0,gender,1.0,race,0.0
183,8150,0.97,decile3,1,1,1.0,lsat,2,1,25.0,decile1,3,1,1.0,fam_inc,3.0,ugpa,3.6,fulltime,1.0,gender,0.0,race,3.0
184,2031,0.5271310274938109,lsat,1,1,28.5,ugpa,2,-1,3.4,decile1,3,-1,5.0,decile3,4.0,fam_inc,3.0,fulltime,1.0,gender,1.0,race,0.0
185,14513,0.5252114011063473,lsat,1,1,32.0,ugpa,2,-1,2.7,decile3,3,-1,4.0,decile1,4.0,fam_inc,4.0,fulltime,1.0,gender,0.0,race,1.0
186,16222,0.678390328652092,lsat,1,1,23.5,decile3,2,1,2.0,ugpa,3,-1,3.1,decile1,2.0,fam_inc,4.0,fulltime,1.0,gender,0.0,race,3.0
187,10694,0.82,decile3,1,1,1.0,lsat,2,-1,37.0,decile1,3,1,2.0,fam_inc,5.0,ugpa,2.9,fulltime,1.0,gender,0.0,race,0.0
188,10841,0.7179630647466198,decile1,1,1,2.0,decile3,2,1,3.0,ugpa,3,1,2.8,fam_inc,5.0,lsat,35.0,fulltime,1.0,gender,1.0,race,0.0
189,16291,0.91,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,3.1,fam_inc,3.0,lsat,30.0,fulltime,1.0,gender,1.0,race,1.0
190,20391,0.78,decile3,1,1,1.0,lsat,2,1,26.0,ugpa,3,-1,2.1,decile1,2.0,fam_inc,3.0,fulltime,2.0,gender,1.0,race,3.0
191,14639,0.94,decile3,1,1,2.0,lsat,2,1,28.0,decile1,3,1,2.0,fam_inc,3.0,ugpa,3.1,fulltime,1.0,gender,0.0,race,3.0
192,9930,0.6653960125177606,lsat,1,-1,38.0,decile3,2,1,2.0,decile1,3,1,2.0,fam_inc,3.0,ugpa,2.9,fulltime,1.0,gender,1.0,race,0.0
193,18299,0.5887978851081773,decile3,1,1,1.0,lsat,2,-1,38.0,decile1,3,1,3.0,fam_inc,2.0,ugpa,2.6,fulltime,1.0,gender,0.0,race,1.0
194,14152,0.6459261294932395,decile3,1,1,1.0,lsat,2,-1,35.0,fam_inc,3,1,3.0,decile1,2.0,ugpa,2.7,fulltime,1.0,gender,1.0,race,0.0
195,14108,0.6587161884550128,decile3,1,1,1.0,ugpa,2,-1,2.7,decile1,3,1,1.0,fam_inc,3.0,lsat,32.0,fulltime,1.0,gender,0.0,race,3.0
196,2455,0.5131986017466,decile3,1,1,1.0,ugpa,2,-1,3.4,decile1,3,1,1.0,fam_inc,3.0,lsat,29.0,fulltime,1.0,gender,0.0,race,3.0
197,20177,0.5159704071075286,lsat,1,-1,36.5,decile3,2,1,2.0,decile1,3,1,2.0,fam_inc,4.0,ugpa,2.3,fulltime,1.0,gender,1.0,race,0.0
198,7476,0.56,fulltime,1,1,2.0,ugpa,2,1,2.4,fam_inc,3,-1,4.0,decile1,2.0,decile3,3.0,lsat,27.0,gender,1.0,race,0.0
199,10629,0.8828151891515705,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,2.9,fam_inc,3.0,lsat,29.0,fulltime,1.0,gender,0.0,race,3.0
200,17096,0.5289044908283205,decile3,1,1,1.0,ugpa,2,-1,3.0,fam_inc,3,-1,4.0,decile1,2.0,lsat,27.0,fulltime,1.0,gender,0.0,race,0.0
201,7534,0.5088660424698611,fam_inc,1,-1,2.0,lsat,2,1,24.0,decile3,3,1,2.0,decile1,4.0,ugpa,2.4,fulltime,1.0,gender,1.0,race,3.0
202,9945,0.6163592836811229,decile3,1,1,1.0,lsat,2,-1,35.0,ugpa,3,-1,2.9,decile1,2.0,fam_inc,3.0,fulltime,1.0,gender,1.0,race,0.0
203,15320,0.5670666783443402,decile3,1,1,2.0,lsat,2,-1,39.0,ugpa,3,-1,3.1,decile1,2.0,fam_inc,3.0,fulltime,1.0,gender,0.0,race,0.0
204,7908,0.8488660424698611,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,3.6,fam_inc,3.0,lsat,27.0,fulltime,1.0,gender,0.0,race,1.0
205,5792,0.7259261294932395,lsat,1,1,23.0,ugpa,2,-1,3.2,decile1,3,1,3.0,decile3,4.0,fam_inc,3.0,fulltime,1.0,gender,0.0,race,3.0
206,4015,0.5655264163494383,decile3,1,1,2.0,ugpa,2,-1,3.3,fam_inc,3,1,4.0,decile1,4.0,lsat,34.0,fulltime,1.0,gender,0.0,race,0.0
207,2533,0.6259427428129013,ugpa,1,1,3.4,decile3,2,-1,9.0,fam_inc,3,1,4.0,decile1,8.0,lsat,42.0,fulltime,1.0,gender,0.0,race,0.0
208,11214,0.54,lsat,1,1,25.5,ugpa,2,-1,2.8,decile3,3,1,3.0,decile1,5.0,fam_inc,4.0,fulltime,1.0,gender,1.0,race,0.0
209,3252,0.5236793616789085,decile3,1,1,1.0,lsat,2,-1,39.0,decile1,3,1,1.0,fam_inc,3.0,ugpa,3.4,fulltime,1.0,gender,1.0,race,3.0
210,10856,0.56,ugpa,1,1,2.8,lsat,2,-1,37.0,decile3,3,1,5.0,decile1,10.0,fam_inc,4.0,fulltime,1.0,gender,1.0,race,0.0
211,17626,0.7183903286520921,decile3,1,1,2.0,ugpa,2,-1,3.0,fam_inc,3,1,4.0,decile1,4.0,lsat,34.0,fulltime,1.0,gender,1.0,race,1.0
212,11230,0.7468291072164809,decile3,1,1,2.0,lsat,2,-1,38.0,decile1,3,1,3.0,fam_inc,4.0,ugpa,2.8,fulltime,1.0,gender,0.0,race,0.0
213,15857,0.6978560877006496,lsat,1,-1,44.0,decile3,2,1,1.0,decile1,3,1,1.0,fam_inc,3.0,ugpa,3.1,fulltime,1.0,gender,0.0,race,4.0
214,14461,0.69,decile3,1,1,1.0,lsat,2,-1,35.0,ugpa,3,-1,2.7,decile1,4.0,fam_inc,3.0,fulltime,1.0,gender,1.0,race,0.0
215,974,0.8033972901201107,decile3,1,1,2.0,decile1,2,1,1.0,fam_inc,3,-1,5.0,lsat,37.0,ugpa,3.5,fulltime,1.0,gender,1.0,race,0.0
216,1413,0.8819941399273439,decile3,1,1,1.0,ugpa,2,-1,3.5,decile1,3,1,2.0,fam_inc,4.0,lsat,30.0,fulltime,1.0,gender,0.0,race,0.0
217,10295,0.65,decile3,1,1,3.0,fam_inc,2,1,4.0,ugpa,3,1,2.9,decile1,4.0,lsat,33.0,fulltime,1.0,gender,1.0,race,2.0
218,15348,0.6057335980448013,decile3,1,1,2.0,lsat,2,-1,42.0,decile1,3,1,2.0,fam_inc,4.0,ugpa,3.1,fulltime,1.0,gender,0.0,race,0.0
219,18596,0.95,lsat,1,1,18.0,decile3,2,1,1.0,decile1,3,1,1.0,fam_inc,1.0,ugpa,2.6,fulltime,1.0,gender,1.0,race,3.0
220,11523,0.8,decile3,1,1,2.0,decile1,2,1,2.0,ugpa,3,1,2.8,fam_inc,3.0,lsat,36.0,fulltime,1.0,gender,1.0,race,0.0
221,14661,0.8831852837239414,decile3,1,1,1.0,decile1,2,1,1.0,lsat,3,1,32.0,fam_inc,2.0,ugpa,3.1,fulltime,1.0,gender,1.0,race,4.0
222,19052,0.6902353040802933,decile3,1,1,1.0,ugpa,2,-1,3.8,decile1,3,1,1.0,fam_inc,3.0,lsat,33.0,fulltime,1.0,gender,0.0,race,1.0
223,13216,0.6882649850239497,decile3,1,1,1.0,lsat,2,-1,41.0,decile1,3,1,2.0,fam_inc,2.0,ugpa,3.7,fulltime,1.0,gender,1.0,race,0.0
224,17823,0.5482194491213478,decile3,1,1,1.0,lsat,2,-1,36.0,ugpa,3,-1,3.0,decile1,1.0,fam_inc,3.0,fulltime,1.0,gender,0.0,race,3.0
225,16107,0.7108204730642511,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,3.1,fam_inc,3.0,lsat,28.0,fulltime,1.0,gender,0.0,race,3.0
226,20421,0.98,decile3,1,1,1.0,lsat,2,1,25.0,decile1,3,1,1.0,fam_inc,3.0,ugpa,1.8,fulltime,1.0,gender,1.0,race,4.0
227,8010,0.59,decile3,1,1,2.0,ugpa,2,-1,3.6,lsat,3,1,27.0,decile1,3.0,fam_inc,3.0,fulltime,1.0,gender,0.0,race,0.0
228,15981,0.6326125950778273,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,3.1,fam_inc,2.0,lsat,28.0,fulltime,1.0,gender,1.0,race,3.0
229,13313,0.6288660424698611,ugpa,1,-1,3.7,decile3,2,1,1.0,decile1,3,1,1.0,fam_inc,1.0,lsat,22.0,fulltime,1.0,gender,0.0,race,3.0
230,3055,0.5076530026647594,ugpa,1,-1,3.4,decile3,2,1,2.0,decile1,3,1,2.0,fam_inc,2.0,lsat,33.0,fulltime,1.0,gender,1.0,race,0.0
231,19906,0.568390328652092,lsat,1,-1,36.0,decile3,2,1,2.0,ugpa,3,1,2.5,decile1,2.0,fam_inc,2.0,fulltime,1.0,gender,1.0,race,0.0
232,7770,0.765695149686342,decile3,1,1,1.0,decile1,2,1,2.0,lsat,3,-1,29.5,fam_inc,4.0,ugpa,2.4,fulltime,1.0,gender,1.0,race,4.0
233,1951,0.5236793616789085,decile3,1,1,1.0,lsat,2,-1,39.0,decile1,3,1,1.0,fam_inc,3.0,ugpa,3.4,fulltime,1.0,gender,1.0,race,0.0
234,18675,0.6096636484632868,decile3,1,1,1.0,lsat,2,-1,37.0,decile1,3,1,2.0,fam_inc,3.0,ugpa,3.8,fulltime,1.0,gender,0.0,race,3.0
235,10084,0.6149563807005181,decile3,1,1,2.0,lsat,2,-1,37.0,decile1,3,1,3.0,fam_inc,3.0,ugpa,2.9,fulltime,1.0,gender,0.0,race,0.0
236,17548,0.6514277061983935,decile3,1,1,2.0,lsat,2,-1,34.0,decile1,3,1,3.0,fam_inc,4.0,ugpa,3.0,fulltime,1.0,gender,1.0,race,0.0
237,14477,0.5693989425540886,fulltime,1,1,2.0,decile3,2,1,3.0,ugpa,3,-1,2.7,decile1,4.0,fam_inc,3.0,lsat,27.0,gender,1.0,race,0.0
238,5773,0.51,decile3,1,1,1.0,ugpa,2,-1,3.2,fam_inc,3,-1,3.0,decile1,2.0,lsat,14.5,fulltime,1.0,gender,0.0,race,3.0
239,14348,0.87,decile3,1,1,1.0,fulltime,2,1,2.0,decile1,3,1,3.0,fam_inc,3.0,lsat,30.0,ugpa,2.7,gender,0.0,race,0.0
240,2985,0.6076314174260573,fam_inc,1,1,4.0,decile3,2,-1,10.0,lsat,3,1,45.0,decile1,10.0,ugpa,3.4,fulltime,1.0,gender,0.0,race,0.0
241,20064,0.64,decile3,1,1,1.0,lsat,2,1,23.5,ugpa,3,-1,2.3,decile1,1.0,fam_inc,1.0,fulltime,1.0,gender,1.0,race,1.0
242,17627,0.9087523066733924,decile3,1,1,1.0,lsat,2,1,25.5,decile1,3,1,1.0,fam_inc,4.0,ugpa,3.0,fulltime,1.0,gender,1.0,race,3.0
243,4675,0.65,decile3,1,1,2.0,lsat,2,-1,39.0,decile1,3,1,3.0,fam_inc,4.0,ugpa,3.3,fulltime,1.0,gender,1.0,race,0.0
244,7222,0.7250940922404305,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,3.2,fam_inc,4.0,lsat,31.0,fulltime,1.0,gender,1.0,race,0.0
245,10865,0.7316064152100704,decile3,1,1,1.0,lsat,2,-1,36.0,decile1,3,1,3.0,fam_inc,4.0,ugpa,2.8,fulltime,1.0,gender,0.0,race,2.0
246,19677,0.8594621346259905,decile3,1,1,1.0,lsat,2,1,22.0,decile1,3,1,1.0,fam_inc,3.0,ugpa,2.5,fulltime,1.0,gender,1.0,race,3.0
247,15099,0.7280803736125365,decile3,1,1,1.0,lsat,2,1,25.5,ugpa,3,-1,3.1,decile1,2.0,fam_inc,2.0,fulltime,1.0,gender,1.0,race,0.0
248,8382,0.93,decile3,1,1,2.0,lsat,2,1,28.0,decile1,3,1,2.0,fam_inc,3.0,ugpa,3.6,fulltime,1.0,gender,1.0,race,1.0
249,7256,0.73,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,3.2,fam_inc,2.0,lsat,31.0,fulltime,1.0,gender,1.0,race,0.0
250,14497,0.9172663206188052,decile3,1,1,1.0,decile1,2,1,1.0,fam_inc,3,1,4.0,lsat,31.0,ugpa,2.7,fulltime,1.0,gender,1.0,race,0.0
251,15839,0.9193989425540888,decile3,1,1,1.0,decile1,2,1,1.0,lsat,3,-1,37.0,fam_inc,4.0,ugpa,3.1,fulltime,1.0,gender,1.0,race,0.0
252,12903,0.5754641698794444,decile3,1,1,1.0,ugpa,2,-1,3.7,lsat,3,-1,33.0,decile1,2.0,fam_inc,3.0,fulltime,2.0,gender,1.0,race,1.0
253,7845,0.6383537713098623,fam_inc,1,1,3.0,decile1,2,1,5.0,lsat,3,1,39.0,decile3,6.0,ugpa,3.6,fulltime,1.0,gender,0.0,race,0.0
254,7470,0.684085478338434,decile3,1,1,1.0,lsat,2,-1,34.0,decile1,3,1,1.0,fam_inc,2.0,ugpa,2.4,fulltime,1.0,gender,1.0,race,1.0
255,12231,0.61,decile3,1,1,3.0,ugpa,2,-1,3.9,lsat,3,1,33.0,decile1,4.0,fam_inc,3.0,fulltime,1.0,gender,1.0,race,0.0
256,18024,0.76,decile3,1,1,1.0,lsat,2,1,25.0,fam_inc,3,-1,2.0,decile1,1.0,ugpa,2.6,fulltime,1.0,gender,1.0,race,2.0
257,14494,0.7170013254778124,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,2.7,fam_inc,3.0,lsat,29.0,fulltime,1.0,gender,0.0,race,3.0
258,15792,0.7906481201032969,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,3.1,fam_inc,3.0,lsat,27.0,fulltime,1.0,gender,1.0,race,3.0
259,17641,0.69,decile3,1,1,1.0,lsat,2,1,20.0,fam_inc,3,-1,2.0,decile1,1.0,ugpa,3.0,fulltime,1.0,gender,0.0,race,0.0
260,19899,0.9598760210710396,decile3,1,1,1.0,decile1,2,1,1.0,lsat,3,1,27.0,fam_inc,3.0,ugpa,2.5,fulltime,1.0,gender,0.0,race,3.0
261,1240,0.7522393623404497,decile3,1,1,1.0,decile1,2,1,2.0,lsat,3,-1,41.0,fam_inc,4.0,ugpa,3.5,fulltime,1.0,gender,1.0,race,0.0
262,17805,0.6354653088744601,decile3,1,1,1.0,lsat,2,-1,36.0,decile1,3,1,2.0,fam_inc,3.0,ugpa,3.0,fulltime,1.0,gender,1.0,race,1.0
263,19803,0.8672712661088151,decile3,1,1,1.0,decile1,2,1,1.0,lsat,3,1,28.0,fam_inc,3.0,ugpa,2.5,fulltime,1.0,gender,0.0,race,3.0
264,7523,0.64,decile3,1,1,1.0,lsat,2,1,19.0,decile1,3,1,1.0,fam_inc,3.0,ugpa,2.4,fulltime,2.0,gender,1.0,race,3.0
265,19416,0.5965371161867956,decile3,1,1,1.0,ugpa,2,-1,3.8,decile1,3,1,1.0,fam_inc,3.0,lsat,28.0,fulltime,1.0,gender,0.0,race,3.0
266,17597,0.66,decile1,1,1,3.0,lsat,2,-1,43.0,decile3,3,1,3.0,fam_inc,3.0,ugpa,3.0,fulltime,1.0,gender,0.0,race,0.0
267,18341,0.72,ugpa,1,1,2.6,fam_inc,2,1,4.0,decile1,3,1,7.0,decile3,7.0,lsat,40.0,fulltime,1.0,gender,1.0,race,0.0
268,19951,0.6485339174241672,decile3,1,1,1.0,fam_inc,2,-1,3.0,lsat,3,1,22.7,decile1,1.0,ugpa,2.5,fulltime,1.0,gender,1.0,race,4.0
269,4835,0.5587978851081774,fulltime,1,1,2.0,lsat,2,-1,33.5,ugpa,3,-1,3.3,decile1,5.0,decile3,4.0,fam_inc,3.0,gender,1.0,race,0.0
270,4959,0.51,ugpa,1,-1,3.3,decile3,2,1,2.0,fam_inc,3,-1,2.0,decile1,2.0,lsat,28.0,fulltime,1.0,gender,0.0,race,0.0
271,17932,0.68,decile3,1,1,2.0,lsat,2,-1,40.0,decile1,3,1,5.0,fam_inc,3.0,ugpa,3.0,fulltime,1.0,gender,1.0,race,0.0
272,10824,0.52,decile3,1,1,2.0,lsat,2,-1,35.5,decile1,3,1,1.0,fam_inc,3.0,ugpa,2.8,fulltime,1.0,gender,1.0,race,0.0
273,10108,0.945695149686342,decile3,1,1,1.0,decile1,2,1,1.0,lsat,3,-1,36.0,fam_inc,4.0,ugpa,2.9,fulltime,1.0,gender,1.0,race,0.0
274,7655,0.71,lsat,1,1,25.0,decile3,2,1,3.0,decile1,3,-1,5.0,fam_inc,3.0,ugpa,2.4,fulltime,1.0,gender,1.0,race,3.0
275,17458,0.8,lsat,1,1,19.0,decile3,2,1,1.0,decile1,3,1,1.0,fam_inc,1.0,ugpa,3.0,fulltime,1.0,gender,0.0,race,3.0
276,1308,0.67,decile3,1,1,2.0,lsat,2,1,26.0,ugpa,3,-1,3.5,decile1,1.0,fam_inc,3.0,fulltime,1.0,gender,0.0,race,3.0
277,2260,0.6259427428129013,ugpa,1,1,3.4,decile3,2,-1,9.0,fam_inc,3,1,4.0,decile1,8.0,lsat,42.0,fulltime,1.0,gender,1.0,race,0.0
278,17970,0.6988660424698611,decile3,1,1,1.0,ugpa,2,-1,3.0,decile1,3,1,2.0,fam_inc,3.0,lsat,27.0,fulltime,1.0,gender,1.0,race,3.0
279,17389,0.6251662970516523,decile3,1,1,3.0,decile1,2,1,2.0,lsat,3,-1,36.0,fam_inc,4.0,ugpa,3.0,fulltime,1.0,gender,0.0,race,4.0
280,14878,0.5759348454399664,decile3,1,1,1.0,lsat,2,-1,34.0,decile1,3,1,1.0,fam_inc,3.0,ugpa,3.1,fulltime,1.0,gender,0.0,race,3.0
281,19613,0.6695911026766997,decile3,1,1,1.0,lsat,2,-1,36.0,decile1,3,1,1.0,fam_inc,2.0,ugpa,2.5,fulltime,1.0,gender,0.0,race,3.0
282,10335,0.7431006626775846,decile3,1,1,1.0,decile1,2,1,1.0,lsat,3,-1,34.0,fam_inc,3.0,ugpa,2.9,fulltime,1.0,gender,0.0,race,0.0
283,7606,0.56,decile3,1,1,1.0,decile1,2,-1,4.0,ugpa,3,-1,2.4,fam_inc,4.0,lsat,30.0,fulltime,2.0,gender,1.0,race,0.0
284,1624,0.6188660424698611,decile1,1,1,2.0,lsat,2,-1,35.0,fam_inc,3,1,3.0,decile3,4.0,ugpa,3.5,fulltime,1.0,gender,0.0,race,0.0
285,16532,0.6168291072164809,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,3.0,fam_inc,2.0,lsat,33.0,fulltime,1.0,gender,1.0,race,0.0
286,2033,0.6754895405418676,decile1,1,1,1.0,ugpa,2,-1,3.4,decile3,3,1,2.0,fam_inc,3.0,lsat,32.0,fulltime,1.0,gender,0.0,race,1.0
287,16399,0.688866042469861,decile3,1,1,2.0,decile1,2,1,2.0,ugpa,3,-1,3.0,fam_inc,3.0,lsat,32.0,fulltime,1.0,gender,0.0,race,1.0
288,5942,0.8419055175333184,decile3,1,1,1.0,decile1,2,1,2.0,lsat,3,1,31.0,fam_inc,4.0,ugpa,3.2,fulltime,1.0,gender,0.0,race,0.0
289,356,0.7272270165111988,decile3,1,1,2.0,decile1,2,1,3.0,ugpa,3,-1,3.5,fam_inc,4.0,lsat,36.0,fulltime,1.0,gender,0.0,race,0.0
290,14575,0.6892587808984131,decile3,1,1,1.0,lsat,2,-1,37.0,decile1,3,1,1.0,fam_inc,4.0,ugpa,2.7,fulltime,1.0,gender,0.0,race,0.0
291,5433,0.9688660424698612,decile3,1,1,1.0,lsat,2,1,26.0,decile1,3,1,1.0,fam_inc,3.0,ugpa,3.3,fulltime,1.0,gender,0.0,race,2.0
292,6681,0.9076954260011808,decile3,1,1,1.0,decile1,2,1,1.0,lsat,3,1,27.0,fam_inc,3.0,ugpa,3.2,fulltime,1.0,gender,0.0,race,1.0
293,10052,0.8225598035159145,decile3,1,1,2.0,decile1,2,1,2.0,ugpa,3,-1,2.9,fam_inc,4.0,lsat,31.0,fulltime,1.0,gender,1.0,race,0.0
294,14349,0.569546119726342,decile3,1,1,1.0,lsat,2,-1,31.0,ugpa,3,-1,2.7,decile1,1.0,fam_inc,3.0,fulltime,1.0,gender,0.0,race,2.0
295,20233,0.54,decile3,1,-1,5.0,lsat,2,1,23.0,ugpa,3,1,2.3,decile1,5.0,fam_inc,4.0,fulltime,1.0,gender,1.0,race,0.0
296,10793,0.55,lsat,1,1,26.0,fam_inc,2,-1,5.0,ugpa,3,-1,2.8,decile1,4.0,decile3,3.0,fulltime,1.0,gender,1.0,race,0.0
297,14986,0.51,decile3,1,1,1.0,fam_inc,2,-1,1.0,decile1,3,1,1.0,lsat,33.0,ugpa,3.1,fulltime,1.0,gender,0.0,race,3.0
298,15776,0.5923233911979778,ugpa,1,1,3.1,decile1,2,1,5.0,decile3,3,-1,7.0,fam_inc,4.0,lsat,37.0,fulltime,1.0,gender,1.0,race,0.0
299,14704,0.5721075266493036,ugpa,1,-1,3.1,lsat,2,1,25.0,decile3,3,1,2.0,decile1,3.0,fam_inc,3.0,fulltime,1.0,gender,0.0,race,3.0
300,932,0.7252084478399905,decile3,1,1,1.0,decile1,2,1,1.0,ugpa,3,-1,3.5,fam_inc,4.0,lsat,38.0,fulltime,1.0,gender,1.0,race,0.0
301,13868,0.88,decile3,1,1,1.0,lsat,2,1,23.0,decile1,3,1,1.0,fam_inc,3.0,ugpa,2.7,fulltime,1.0,gender,1.0,race,3.0
